FIPS_Code,County,State,Total,Male,Female,Under18,a18to64,over65,oneRace,White,AfricanAmerican,Native,Asian,Hawaiian,otherRace,Multiracial,FamilyHousehold,OtherLivingArrangements,totPoverty25,NoHS,HighSchool,SomeCollege,Bachelors,AmericanBorn,ForeignBorn,NaturalizedCitizen,Disability,NoDisability,totPoverty16to64,FullTime,PartTime,NoWork,Year
39153,Summit County, Ohio,532666,256559,276107,121686,333971,77009,518139,432796,72317,278,11013,0,1735,14527,430458,102208,363222,37338,115713,100584,109587,509647,23019,11814,68606,463636,348544,165121,100142,83281,2010
40109,Oklahoma County, Oklahoma,707527,346600,360927,179405,443821,84301,658962,478211,107558,18564,22264,747,31618,48565,575756,131771,457958,65140,118313,143878,130627,633567,73960,21860,96426,608023,461567,233690,124391,103486,2010
40143,Tulsa County, Oklahoma,595151,290831,304320,152305,371820,71026,557295,430102,63006,29948,14494,403,19342,37856,488712,106439,388169,45462,103335,128789,110583,548852,46299,13956,80691,513812,388235,194048,106985,87202,2010
41051,Multnomah County, Oregon,723067,356061,367006,149182,499210,74675,697513,564046,43792,6211,49168,3751,30545,25554,525910,197157,507706,56294,102935,154491,193986,619500,103567,42465,84676,637906,515785,222985,169441,123359,2010
41067,Washington County, Oregon,525180,258718,266462,134469,338830,51881,503089,401723,9073,4627,44933,2069,40664,22091,443171,82009,348626,32206,63910,115457,137053,438365,86815,33162,49865,475039,353064,168350,106328,78386,2010
42003,Allegheny County, Pennsylvania,1182595,564342,618253,236466,748650,197479,1156010,969538,149262,1454,32029,459,3268,26585,911037,271558,843821,58902,268668,215800,300451,1127368,55227,25571,153929,1027940,779188,392061,223384,163743,2010
42045,Delaware County, Pennsylvania,539763,258821,280942,128731,334183,76849,529360,396085,105776,116,24641,0,2742,10403,451690,88073,364343,29970,117654,88489,128230,485454,54309,27597,58876,480704,350860,175682,97773,77405,2010
42071,Lancaster County, Pennsylvania,506274,248720,257554,126911,304120,75243,498294,458050,18715,1487,9850,98,10094,7980,435383,70891,334751,52099,128433,72712,81507,482290,23984,12644,55355,450701,318412,163505,89489,65418,2010
42101,Philadelphia County, Pennsylvania,1487471,697595,789876,338982,968359,180130,1451165,614364,653901,4468,95023,224,83185,36306,1137809,349662,965896,190694,348136,206959,220107,1313215,174256,83034,228466,1258633,1010216,399846,255204,355166,2010
44007,Providence County, Rhode Island,596396,287466,308930,136064,380671,79661,575852,438275,51829,1427,19792,426,64103,20544,472139,124257,403454,82152,113363,103819,104120,489794,106602,48429,92641,503051,398587,177153,116922,104512,2010
47037,Davidson County, Tennessee,602785,289023,313762,133904,403698,65183,587482,379339,163641,1237,17213,0,26052,15303,459633,143152,410354,63165,98896,104606,143687,529225,73560,22555,68972,533553,416955,196723,130883,89349,2010
47157,Shelby County, Tennessee,908278,428247,480031,239263,575428,93587,894883,373473,473631,2320,21912,44,23503,13395,772016,136262,581486,75601,163600,176082,166203,849864,58414,21065,111633,795946,604106,287558,150663,165885,2010
48029,Bexar County, Texas,1682820,819678,863142,460514,1050968,171338,1640726,1276920,119189,15767,39438,2259,187153,42094,1446125,236695,1048404,184176,260212,331081,272935,1453623,229197,85489,215715,1453637,1103934,549407,271950,282577,2010
48085,Collin County, Texas,784810,385643,399167,224837,500422,59551,761336,582329,63760,4590,88990,271,21396,23474,693644,91166,503052,33522,82722,145678,241130,647167,137643,66478,45253,739230,524639,294746,124753,105140,2010
48113,Dallas County, Texas,2338299,1151622,1186677,650210,1487924,200165,2280843,1327676,511907,10129,118505,921,311705,57456,1965792,372507,1459949,331028,341221,372870,414830,1783202,555097,139417,213965,2123481,1555226,800413,372434,382379,2010
48121,Denton County, Texas,653031,321381,331650,181892,425672,45467,628022,518907,49301,2819,43439,764,12792,25009,558161,94870,409431,31581,74023,139588,164239,563486,89545,35478,51799,600600,444589,249402,119853,75334,2010
48141,El Paso County, Texas,793252,381346,411906,240628,470924,81700,777087,626255,23283,4532,7595,137,115285,16165,720829,72423,466290,126326,112559,135029,92376,585357,207895,88721,94704,689365,498405,212422,130462,155521,2010
48157,Fort Bend County, Texas,583131,283691,299440,174112,366456,42563,572094,316775,126331,1563,101213,0,26212,11037,543919,39212,364035,41714,71902,110066,140353,439402,143729,72746,39516,543398,387110,207756,82230,97124,2010
